Dish Name,Dish Description,Restaurant Name,Dish MRP,Discount,Dicounted Price,Tax,Dish Type,Dish Cuisine,Dish Course
Falafel-E-Khaas (Half),"12 Pcs, Savour the great taste with shallow fried chickpea nuggets with a blend of aromatic spices.",Behrouz Biryani,129.0,0.0,129.0,6.45,veg,Mughlai,Main Course
Non Veg Kebab Platter,"(3pcs Mutton Galouti, 3pcs Murgh Seekh, 3pcs Murgh Haleem, 3pcs Murgh Malai Tikka) Relish this royal platter featuring creamy Murgh Malai Tikka Kebab paired with melt-in-mouth Mutton Galouti Kebab alongside slow-cooked Haleem Kebab & the elegantly spiced Murgh Seekh Kebab. Accompanied with rich mint mayo and raita",Behrouz Biryani,749.0,0.0,749.0,37.45,non-veg,North Indian,Starter
Veg Kebab Platter,"(3pcs Dahi kebab, 3pcs Hara Bhara Kebab, 3pcs Beetroot kebab, 12pcs Falafel shots) Relish this royal platter made with the choicest veggies and spices, featuring Dahi Labneh Kebabs served alongside the tender yet crispy Hara Bhara Kebabs, the royal Beetroot Kebab and the delectable Falafel-e-Khas Kebab. Accompanied with rich mint mayo and raita.",Behrouz Biryani,549.0,0.0,549.0,27.45,veg,North Indian,Starter
"Murgh Koobideh (Half, Chicken Tikki Kebab)","5 Pcs, Ground chicken flavored with cardamom & green chilli and grilled to perfection",Behrouz Biryani,165.0,0.0,165.0,8.25,non-veg,North Indian,Starter
"Murgh Kefta (Half, Chicken Meatball Kebab)","4 Pcs, Minced chicken kebabs cooked into soft delicious meatballs served with Minty dip.",Behrouz Biryani,145.0,0.0,145.0,7.25,non-veg,North Indian,Starter
Dahi Labneh Kebab (6 Pcs),"(6 pcs) Crafted by Celebrity Chef Kunal Kapur and enriched with gentle flavours of Curd, this kebab is delicately spiced with cumin and ginger & beautifully complements the royal biryani",Behrouz Biryani,239.0,0.0,239.0,11.95,veg,North Indian,Starter
Dahi Labneh Kebab (6 Pcs) & Beetroot And Peanut Kebab (6 Pcs) Combo,"Subtly spiced with cumin and ginger, our Dahi Labneh Kebabs are served as a combo alongside kebabs made with handpicked fresh beetroots & crushed peanuts.",Behrouz Biryani,459.0,0.0,459.0,22.95,veg,North Indian,Starter
Murgh Haleem Kebab (6 Pcs) & Murgh Kefta (6pcs) Combo,The coveted chicken haleem kebabs made with a melange of Hyderabadi spices is served alongside Murgh Kefta that is a fine amalgamation of finely minced fresh chicken and the choicest of spices.,Behrouz Biryani,549.0,0.0,549.0,27.45,non-veg,North Indian,Starter
Beetroot & Peanut Kebab (6 Pcs) & Hara Bhara Kebab (6 Pcs) Combo,Delicately spiced kebabs made with fresh beetroots & peanuts are served alongside the tender yet crispy Hara Bhara kebabs that are crafted with finely minced vegetables and shallow-fried to perfection.,Behrouz Biryani,479.0,0.0,479.0,23.95,veg,North Indian,Starter
Hara Bhara Kebab 6 Pcs,"Savour the goodness of finely minced potatoes, garden-fresh spinach and green peas, gently spiced with shahi masalas and shallow-fried to perfection. Coated with a generous layer of bread crumbs, these tender yet crispy kebabs will brighten up your daawat.",Behrouz Biryani,265.0,0.0,265.0,13.25,veg,North Indian,Starter
